 Instron DAT-file 
 ================ 
 
Test data:
----------
Filename : 	rope1.DAT
Date : 	 1AUG12  
User : 	bp                            
Sample ID : 	rope    
Machine : 	4505
Test Type : 	Tensile
Method number : 	0   	Tensile               kvds            6/10/2010             
Sample Temp : 	20	°C
Humidity : 	50	%
Speed : 	5	mm/min
Samplerate : 	10	pts/s
Specimen gauge length : 	400	mm
Grip distance : 	400	mm
 
Specimen data:
--------------
Specimen number : 	1
Specimen geometry : 	cylindrical
Surface : 	3.14	mm²
Diameter : 	2	mm
Extensometer removed at point :  0 
Max Load : 	3.511917	kN
Displ. at Max Load : 	.365631	mm
Comment : 	red rope
 
Test results :
--------------
Point nr.	Time [s]	Displ [mm]	Load [kN]
607	60.7	5.031435	2.93646
608	60.8	5.039995	2.943108
609	60.9	5.048047	2.94813
610	61	5.056404	2.955507
611	61.1	5.064684	2.962218
612	61.2	5.072685	2.968574
613	61.3	5.081372	2.972753
614	61.4	5.089754	2.981652
615	61.5	5.098085	2.985153
616	61.6	5.106365	2.991519
617	61.7	5.11429	2.997459
618	61.8	5.123281	3.003919
619	61.9	5.131308	3.010494
620	62	5.139995	3.015589
621	62.1	5.148428	3.015694
622	62.2	5.156276	3.01859
623	62.3	5.164709	3.024071
624	62.4	5.17271	3.031366
625	62.5	5.180965	3.036086
626	62.6	5.189398	3.041535
627	62.7	5.197348	3.048027
628	62.8	5.206035	3.054612
629	62.9	5.21363	3.055457
630	63	5.222316	3.057853
631	63.1	5.230292	3.05952
632	63.2	5.23875	3.062302
633	63.3	5.24764	3.068002
634	63.4	5.255997	3.076505
635	63.5	5.264074	3.082048
636	63.6	5.272329	3.087446
637	63.7	5.280685	3.093969
638	63.8	5.289474	3.100054
639	63.9	5.297678	3.105577
640	64	5.305958	3.111558
641	64.1	5.31401	3.118935
642	64.2	5.322291	3.119436
643	64.3	5.330317	3.109057
644	64.4	5.338521	3.107723
645	64.5	5.347081	3.11408
646	64.6	5.355361	3.118248
647	64.7	5.363032	3.121791
648	64.8	5.371287	3.128293
649	64.9	5.379669	3.132252
650	65	5.388	3.139171
651	65.1	5.396636	3.145069
652	65.2	5.404993	3.150779
653	65.3	5.412689	3.158636
654	65.4	5.421401	3.1642
655	65.5	5.430012	3.170035
656	65.6	5.438242	3.176246
657	65.7	5.44703	3.183269
658	65.8	5.455006	3.188666
659	65.9	5.463388	3.195752
660	66	5.471668	3.199899
661	66.1	5.48033	3.205192
662	66.2	5.488686	3.212778
663	66.3	5.496966	3.217634
664	66.4	5.504993	3.20713
665	66.5	5.51373	2.247487
666	66.6	5.522392	2.238297
667	66.7	5.530647	2.241683
668	66.8	5.539207	2.244121
669	66.9	5.547767	2.251019
670	67	5.556428	2.261533
671	67.1	5.564048	2.268379
672	67.2	5.572633	2.279143
673	67.3	5.580964	2.287573
674	67.4	5.589803	2.297253
675	67.5	5.597678	2.307808
676	67.6	5.606008	2.317614
677	67.7	5.613959	2.326856
678	67.8	5.622671	2.332639
679	67.9	5.630672	2.326294
680	68	5.639029	2.32099
681	68.1	5.647766	2.296555
682	68.2	5.656047	2.287885
683	68.3	5.664327	2.286969
684	68.4	5.672328	2.280748
685	68.5	5.68099	2.275017
686	68.6	5.689397	2.276059
687	68.7	5.697652	2.274694
688	68.8	5.706313	2.279664
689	68.9	5.714314	2.283655
690	69	5.723331	2.287583
691	69.1	5.731358	2.252937
692	69.2	5.739994	2.220999
693	69.3	5.748477	2.190521
694	69.4	5.757011	1.729194
695	69.5	5.765673	1.7194
696	69.6	5.773725	1.723088
697	69.7	5.781929	1.727882
698	69.8	5.790006	1.735905
699	69.9	5.798668	1.745241
700	70	5.80705	1.752358
701	70.1	5.815356	1.762278
702	70.2	5.823509	1.77151
703	70.3	5.831688	1.780638
704	70.4	5.840324	1.78936
705	70.5	5.849087	1.800249
706	70.6	5.857087	1.808814
707	70.7	5.865647	1.819432
708	70.8	5.873648	1.827695
709	70.9	5.882284	1.836146
710	71	5.890412	1.847431
711	71.1	5.898668	1.856037
712	71.2	5.90705	1.863602
713	71.3	5.915	1.871605
714	71.4	5.92295	1.879337
715	71.5	5.931002	1.888569
716	71.6	5.939561	1.895988
717	71.7	5.94807	1.90522
718	71.8	5.956402	1.912889
719	71.9	5.964047	1.92035
720	72	5.972353	1.928332
721	72.1	5.981319	1.935834
722	72.2	5.989396	1.942555
723	72.3	5.998032	1.949578
724	72.4	6.006313	1.956601
725	72.5	6.014314	1.961103
726	72.6	6.023	1.968022
727	72.7	6.031357	1.973596
728	72.8	6.039993	1.977369
729	72.9	6.048451	1.983652
730	73	6.056402	1.990029
731	73.1	6.064428	1.995697
732	73.2	6.072683	2.000324
733	73.3	6.081268	2.00568
734	73.4	6.089828	2.01139
735	73.5	6.097727	2.015391
736	73.6	6.105677	2.022373
737	73.7	6.114364	2.026551
738	73.8	6.122645	2.030198
739	73.9	6.130646	2.035106
740	74	6.138951	2.041275
741	74.1	6.147308	2.04711
742	74.2	6.155715	2.054977
743	74.3	6.163717	2.060854
744	74.4	6.171641	2.068367
745	74.5	6.180328	2.074223
746	74.6	6.188685	2.082569
747	74.7	6.196711	2.088904
748	74.8	6.205322	2.097074
749	74.9	6.212713	2.104222
750	75	6.221679	2.112193
751	75.1	6.230011	2.118122
752	75.2	6.237834	2.127167
753	75.3	6.246317	2.133784
754	75.4	6.254369	2.14139
755	75.5	6.263361	2.150466
756	75.6	6.271311	2.155166
757	75.7	6.279794	2.162991
758	75.8	6.288405	2.171004
759	75.9	6.296685	2.1776
760	76	6.304991	2.18554
761	76.1	6.313348	2.193053
762	76.2	6.322035	2.194678
763	76.3	6.33001	2.198659
764	76.4	6.338316	2.204567
765	76.5	6.346673	2.212163
766	76.6	6.354471	2.219957
767	76.7	6.363005	2.228314
768	76.8	6.37065	2.236233
769	76.9	6.379108	2.24211
770	77	6.387769	2.248852
771	77.1	6.39605	2.257032
772	77.2	6.404356	2.261335
773	77.3	6.412332	2.26741
774	77.4	6.420993	2.269129
775	77.5	6.4294	2.27585
776	77.6	6.437909	2.281602
777	77.7	6.446393	2.287427
778	77.8	6.454445	2.293387
779	77.9	6.46303	2.298389
780	78	6.471031	2.303578
781	78.1	6.479998	2.309663
782	78.2	6.488074	2.316822
783	78.3	6.496355	2.323157
784	78.4	6.504711	2.329524
785	78.5	6.512636	2.336714
786	78.6	6.521044	2.340819
787	78.7	6.529324	2.349385
788	78.8	6.537198	2.355584
789	78.9	6.545961	2.36217
790	79	6.554166	2.369516
791	79.1	6.56237	2.376716
792	79.2	6.570599	2.383687
793	79.3	6.578803	2.390314
